Domain,MX,ERROR,IP
tierpoint.com,mxb-00279c01.gslb.pphosted.com,,148.163.158.113
xand.com,mxb-00279c01.gslb.pphosted.com,,148.163.158.113
axsne.com,mxa-00279c01.gslb.pphosted.com,,148.163.148.255
dbsintl.com,mxa-00279c01.gslb.pphosted.com,,148.163.148.255
neweratickets.com,neweratickets.com.s8a2.psmtp.com,,64.233.190.27
curleyins.com,data.artefactdesign.com,,65.75.10.227
amic.co.uk,d40315a.ess.barracudanetworks.com,,64.235.150.252
crownawards.com,d39758a.ess.barracudanetworks.com,,64.235.154.105
cubelink.net,mail.cubelink.net,,216.150.130.103
exchange.telmar.com,d40289b.ess.barracudanetworks.com,,64.235.154.109
handy-one.com,handyharman.com.mail5.psmtp.com,,74.125.29.26
striker.org,d39278a.ess.barracudanetworks.com,,64.235.154.105
brush.com,mailstore1.secureserver.net,,72.167.238.32
telmar.com.hk,telmar.com.s6b2.psmtp.com,,108.177.15.27
telmarpacific.com.au,telmarpacific.com.au.s6b1.psmtp.com,,209.85.203.27
adcomputer.com,us-smtp-inbound-2.mimecast.com,,207.211.30.145
mfpstrategies.com,us-smtp-inbound-2.mimecast.com,,207.211.30.145
omgroofing.com,us-smtp-inbound-2.mimecast.com,,207.211.30.145
sonis.com,us-smtp-inbound-2.mimecast.com,,207.211.30.145
chiengineering.com,us-smtp-inbound-1.mimecast.com,,207.211.30.221
opticaldg.com,us-smtp-inbound-1.mimecast.com,,207.211.30.221
fonar.com,east.smtp.exch083.serverdata.net,,162.216.194.241
mwylaw.com,east.smtp.exch083.serverdata.net,,162.216.194.241
njiua.org,east.smtp.exch083.serverdata.net,,162.216.194.241
yaros4.com,east.smtp.exch083.serverdata.net,,162.216.194.241
wusthof.com,wusthof.com.2.0001.arsmtp.com,,8.19.118.113
iesnyc.com,aspmx.l.google.com,,74.125.29.26
lfoleary.com,ASPMX.L.GOOGLE.com,,74.125.29.26
metrologyservicesinc.com,ASPMX.L.GOOGLE.com,,74.125.29.26
lamoureuxford.com,ALT3.ASPMX.L.GOOGLE.com,,108.177.15.27
framinghamwelding.com,ASPMX.L.GOOGLE.com,,74.125.29.26
lamford.com,ASPMX.L.GOOGLE.com,,74.125.29.26
algpartners.com,alt1.aspmx.l.google.com,,64.233.190.27
mayaud.com,ALT2.ASPMX.L.GOOGLE.com,,209.85.203.27
yorn.com,alt2.aspmx.l.google.com,,209.85.203.27
araiamericas.com,araiamericas-com.mail.protection.outlook.com,,216.32.181.234
dbsintl.org,backupmail.dbsintl.com,,208.65.144.12
telmar.com,d33208a.ess.barracudanetworks.com,,64.235.154.140
riverglen.net,d35534b.ess.barracudanetworks.com,,64.235.153.2
imanet.org,d39263a.ess.barracudanetworks.com,,64.235.154.109
yourhomestock.com,d39294a.ess.barracudanetworks.com,,64.235.150.252
desantis7.com,d39755a.ess.barracudanetworks.com,,64.235.154.105
wlfd.net,d39756b.ess.barracudanetworks.com,,64.235.150.252
crowntrophy.com,d39758a.ess.barracudanetworks.com,,64.235.154.105
trophydirect.com,relay2.xand.com,,216.150.131.212
telmar.co.uk,relay2.xand.com,,216.150.131.212
telmarpeaktime.nl,d40300a.ess.barracudanetworks.com,,64.235.154.105
edoceosolutions.com,edoceosolutions.com.s7a2.psmtp.com,,64.233.190.27
exsifchina.com,exsifchina.com.s6a2.psmtp.com,,64.233.190.27
exsifworldwide.com,relay2.xand.com,,216.150.131.212
handy-1.com,relay2.xand.com,,216.150.131.212
karas.net,mx3.zoho.com,,216.52.72.252
deckfastener.com,mx1c40.carrierzone.com,,64.29.151.236
rasansky.com,mx.zoho.com,,204.141.32.121
vesconite.com,mx20.mailspamprotection.com,,108.163.220.51
neweratickets.com,neweratickets.com.s8a1.psmtp.com,,74.125.29.26
amic.co.uk,d40315b.ess.barracudanetworks.com,,64.235.154.109
crownawards.com,d39758b.ess.barracudanetworks.com,,64.235.153.10
exchange.telmar.com,d40289a.ess.barracudanetworks.com,,64.235.154.105
handy-one.com,handyharman.com.mail6.psmtp.com,,64.233.190.27
striker.org,d39278b.ess.barracudanetworks.com,,64.235.150.252
telmar.com.hk,telmar.com.s6a1.psmtp.com,,74.125.29.26
telmarpacific.com.au,telmarpacific.com.au.s6b2.psmtp.com,,108.177.15.27
iesnyc.com,aspmx2.googlemail.com,,64.233.190.27
lfoleary.com,ASPMX2.GOOGLEMAIL.com,,64.233.190.27
metrologyservicesinc.com,ASPMX2.GOOGLEMAIL.com,,64.233.190.27
lamoureuxford.com,ALT4.ASPMX.L.GOOGLE.com,,173.194.79.26
framinghamwelding.com,ALT1.ASPMX.L.GOOGLE.com,,64.233.190.27
lamford.com,ALT1.ASPMX.L.GOOGLE.com,,64.233.190.27
algpartners.com,alt2.aspmx.l.google.com,,209.85.203.27
yorn.com,alt3.aspmx.l.google.com,,108.177.15.27
corporatedesigninsurance.com,corporatedesigninsurance.com.mx4.broadviewnet.rcimx.net,,208.80.204.253
riverglen.net,east.smtp.mx.exch081.serverdata.net,,64.78.25.102
edoceosolutions.com,edoceosolutions.com.s7b1.psmtp.com,,209.85.203.27
exsifchina.com,relay2.xand.com,,216.150.131.212
exsifworldwide.com,exsifww.com.s6a1.psmtp.com,,74.125.29.26
handy-1.com,handyharman.com.mail8.psmtp.com,,108.177.15.27
neweratickets.com,neweratickets.com.s8b1.psmtp.com,,209.85.203.27
handy-one.com,handyharman.com.mail7.psmtp.com,,209.85.203.27
striker.org,striker-org.mail.protection.outlook.com,,216.32.181.10
telmar.com.hk,telmar.com.s6a2.psmtp.com,,64.233.190.27
telmarpacific.com.au,relay2.xand.com,,216.150.131.212
iesnyc.com,aspmx3.googlemail.com,,209.85.203.26
lfoleary.com,ASPMX3.GOOGLEMAIL.com,,209.85.203.26
metrologyservicesinc.com,ASPMX3.GOOGLEMAIL.com,,209.85.203.26
lamoureuxford.com,ALT1.ASPMX.L.GOOGLE.com,,64.233.190.27
framinghamwelding.com,ALT2.ASPMX.L.GOOGLE.com,,209.85.203.27
lamford.com,ALT2.ASPMX.L.GOOGLE.com,,209.85.203.27
algpartners.com,alt3.aspmx.l.google.com,,108.177.15.27
yorn.com,alt4.aspmx.l.google.com,,173.194.79.26
exsifchina.com,exsifchina.com.s6b2.psmtp.com,,108.177.15.27
exsifworldwide.com,exsifww.com.s6a2.psmtp.com,,64.233.190.27
handy-1.com,handyharman.com.mail7.psmtp.com,,209.85.203.27
handy-one.com,handyharman.com.mail8.psmtp.com,,108.177.15.27
telmar.com.hk,d40293a.ess.barracudanetworks.com,,64.235.154.140
telmarpacific.com.au,telmarpacific.com.au.s6a1.psmtp.com,,74.125.29.26
telmar.com.hk,d40293b.ess.barracudanetworks.com,,64.235.150.252
telmarpacific.com.au,d40294a.ess.barracudanetworks.com,,64.235.154.105
telmarpacific.com.au,d40294b.ess.barracudanetworks.com,,64.235.154.140
bbraunusa.com,mx541.us.emailfiltering.com,IP ERROR: Error: getaddrinfo ENOTFOUND mx541.us.emailfiltering.com,
bbraunusa.com,mx542.us.emailfiltering.com,IP ERROR: Error: getaddrinfo ENOTFOUND mx542.us.emailfiltering.com,
bbraunusa.com,mx543.us.emailfiltering.com,IP ERROR: Error: getaddrinfo ENOTFOUND mx543.us.emailfiltering.com,
bigbrainnetworks.com,mail.bigbrainnetworks.com,IP ERROR: Error: getaddrinfo ENOTFOUND mail.bigbrainnetworks.com,
corporatedesigninsurance.com,corporatedesigninsurance.com.mx1.broadviewnet.rcimx.net,IP ERROR: Error: getaddrinfo ENOTFOUND corporatedesigninsurance.com.mx1.broadviewnet.rcimx.net,
corporatedesigninsurance.com,corporatedesigninsurance.com.mx2.broadviewnet.rcimx.net,IP ERROR: Error: getaddrinfo ENOTFOUND corporatedesigninsurance.com.mx2.broadviewnet.rcimx.net,
